text,actual,predicted
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 5 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 591)	0.4157991986887549
  (0, 2703)	0.3888238505114413
  (0, 789)	0.42676361633702364
  (0, 2171)	0.5553622303250485
  (0, 1155)	0.4305492405551067",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 2 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 1609)	0.613519233138335
  (0, 4462)	0.7896797772321067",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 9 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 764)	0.3436969378981957
  (0, 2762)	0.3024337750588993
  (0, 602)	0.25411247787607283
  (0, 910)	0.34711491473687484
  (0, 2314)	0.29764678360221575
  (0, 4208)	0.2762727789039927
  (0, 4017)	0.2860732668996841
  (0, 4387)	0.423430124667096
  (0, 3108)	0.423430124667096",1,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 7 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 3990)	0.35520658942641875
  (0, 2837)	0.3281587663174906
  (0, 1383)	0.38503657970803706
  (0, 1698)	0.37207223423649904
  (0, 3794)	0.35057586710926275
  (0, 2641)	0.4563908208995394
  (0, 4901)	0.38503657970803706",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 10 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 2686)	0.23966959986913125
  (0, 591)	0.27101537276146104
  (0, 1117)	0.24669115345656054
  (0, 465)	0.3104251706618393
  (0, 2560)	0.3196609591826022
  (0, 2901)	0.2602541293582978
  (0, 1769)	0.34800085427130156
  (0, 1966)	0.3133130455300743
  (0, 2234)	0.42423285928492377
  (0, 1755)	0.37779666516241484",1,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 4 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 691)	0.36033636225530735
  (0, 1578)	0.4910367125991317
  (0, 1287)	0.6086124049187238
  (0, 4268)	0.5085583481720628",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 4 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 1860)	0.3659994713966698
  (0, 1658)	0.460795569600118
  (0, 2111)	0.5078267890531045
  (0, 4953)	0.6291452791639423",1,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 10 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 1405)	0.22774203352570055
  (0, 3103)	0.19234022215907
  (0, 4227)	0.31094021166088964
  (0, 632)	0.23346084023795755
  (0, 2070)	0.36017936473249
  (0, 631)	0.33911408002436505
  (0, 169)	0.3124596591580111
  (0, 3334)	0.391245811446022
  (0, 1123)	0.3338351140217606
  (0, 3138)	0.391245811446022",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 8 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 2679)	0.24408403051409297
  (0, 2565)	0.21385055434937067
  (0, 2452)	0.24588375029353818
  (0, 4145)	0.3185461465714612
  (0, 4069)	0.4587001362210712
  (0, 1952)	0.4278138978611219
  (0, 2493)	0.3885502610707937
  (0, 189)	0.43400300545961984",0,0
"<Compressed Sparse Row sparse matrix of dtype 'float64'
	with 8 stored elements and shape (1, 5000)>
  Coords	Values
  (0, 2965)	0.24623612918986945
  (0, 2532)	0.35990345370774635
  (0, 3593)	0.3099150958686427
  (0, 800)	0.33180747185918263
  (0, 15)	0.3752303424720259
  (0, 2240)	0.38377294626004604
  (0, 3929)	0.4337613040991497
  (0, 4341)	0.3570229047769745",0,0
